path,accents,sentence
common_voice_en_37476269.mp3,United States English,This led to both the Red Terror and the White Terror
common_voice_en_37740889.mp3,England English,Paper wine labels have long been collected
common_voice_en_37607972.mp3,United States English,The number of chime sets matches the number of quarter hours that have passed
common_voice_en_37437567.mp3,United States English,The Atbara flows only while there is rain in Ethiopia and dries very rapidly
common_voice_en_37288403.mp3,United States English,Katsande and her son were accused of voter intimidation
common_voice_en_37306834.mp3,United States English,Data was stored in bigendian format
common_voice_en_37389720.mp3,England English,Gluck is grandmother to actress Stephanie Zimbalist
common_voice_en_37614458.mp3,United States English,She has written about it in The Sun and in Pensions Week
common_voice_en_37433497.mp3,United States English,A basketball was too heavy while the basketball bladder was too light
common_voice_en_38006516.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Todman was born and raised in the United States Virgin Islands
common_voice_en_37506916.mp3,United States English,It was the first and last time Hitler watched a football match
common_voice_en_37463815.mp3,United States English,The book contains Coleridges celebrated and vexed distinction between imagination and fancy
common_voice_en_37511524.mp3,United States English,Mech looks at hightech policing in the future
common_voice_en_37475392.mp3,United States English,He gives you confidence
common_voice_en_37617995.mp3,England English,Morgan received Figure along with two other horses as payment of a debt
common_voice_en_37543489.mp3,United States English,Amateur champion who went on to play the Champions Tour
common_voice_en_37364201.mp3,United States English,our ability to do good things for people
common_voice_en_37473806.mp3,England English,The band made some recordings with producer Tom Dowd overseeing but they were scrapped
common_voice_en_37506196.mp3,United States English,Eventually Koss dominated the headphone market competing mainly with Telex
common_voice_en_37673682.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Different systems define different sets of digraphs and trigraphs as described below
common_voice_en_37402787.mp3,United States English,Carlos Barbosa were the defending champions
common_voice_en_37406712.mp3,United States English,Tulsita is served by the Pettus Independent School District
common_voice_en_37937553.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",The front sight is winged and incorporates a bayonet lug
common_voice_en_37931440.mp3,Canadian English,The parallels to the French Resistance and the Nazi occupation are clear however
common_voice_en_37800525.mp3,United States English,Most of Bosquets best sellers were published by Covered Bridge Press
common_voice_en_37527521.mp3,United States English,IndieGames dot com is Gamasutras sister site dedicated to reporting on indie games
common_voice_en_37482660.mp3,England English,This allowed for what today is known as multimedia experiences
common_voice_en_37805700.mp3,England English,He worked in financial institutions and banking in New Jersey
common_voice_en_37984758.mp3,Canadian English,Porcelain and stoneware are ideal for displaying the surface patterns obtained through saggar firing
common_voice_en_37396012.mp3,United States English,Mary Frierson was born in Memphis Tennessee
common_voice_en_37789528.mp3,United States English,To the east of the railway station lies a community centre and primary school
common_voice_en_38015607.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",The magazine was formerly headquartered in Greensboro North Carolina
common_voice_en_37553551.mp3,United States English,This primary contradiction has plagued mankind for millennia
common_voice_en_37395164.mp3,United States English,It is one of seven Fairfield Townships statewide
common_voice_en_37365970.mp3,Canadian English,In practice the atmospheric extinction and dust reduces this number somewhat
common_voice_en_37868068.mp3,United States English,Bonfires burst out in all in parts of the frame
common_voice_en_37693317.mp3,England English,It is published by the Alpha Newspapers Group on Wednesdays
common_voice_en_37386459.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",A Trustee Board provides strategic direction and vision for the organisation
common_voice_en_37360775.mp3,United States English,She subsequently wed actor Frank Lawton with whom she remained married until his death
common_voice_en_37428239.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Two laymen were martyred along with them
common_voice_en_37807124.mp3,United States English,She was a castaway on the Pagong tribe
common_voice_en_37338161.mp3,United States English,This meant that the traveller would not be discovered with any medication
common_voice_en_37564483.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",We can hardly doubt that the period was determined by astronomical considerations
common_voice_en_37372328.mp3,United States English,We always have a good time together and this was no exception commented Williams
common_voice_en_37373069.mp3,United States English,The adjacent village of Cusop lies on the English side of the Dulas Brook
common_voice_en_37938084.mp3,United States English,The market was also a venue for banquets exhibitions and other festivals
common_voice_en_37954253.mp3,United States English,Adstone is situated approximately southsoutheast of Daventry and westnorthwest of Towcester
common_voice_en_37394368.mp3,United States English,Officially Locke remained in charge of the department
common_voice_en_37405091.mp3,United States English,The alliance operated from its own room
common_voice_en_37920783.mp3,United States English,Roast beef is sometimes served with horseradish or horseradish sauce
common_voice_en_37976445.mp3,Australian English,It also carries a searchlight nightvision equipment and illuminating paraflares for nighttime operations
common_voice_en_37357234.mp3,United States English,He decided against making chess his profession choosing law instead
common_voice_en_37521397.mp3,United States English,The mosque has three access points
common_voice_en_37850576.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",The honey bucket system is used in most of the community
common_voice_en_37687761.mp3,United States English,Most people refer to East Shoreham as Shoreham
common_voice_en_37461089.mp3,United States English,Like its predecessor The Marble Index it is an avantgarde album with neoclassical elements
common_voice_en_37892999.mp3,United States English,She was a rapid writer and her work is consequently discursive animated and formless
common_voice_en_38014681.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Males search for females by letting out highpitched squeals and tunneling through foreign areas
common_voice_en_37790919.mp3,England English,The development of these forces took place in three stages
common_voice_en_37578071.mp3,United States English,McDowell also cracked some ribs filming the humiliation stage show
common_voice_en_37455760.mp3,United States English,The initial decision was for battles to feature shifting camera angles
common_voice_en_37411234.mp3,England English,Hes a practising Catholic
common_voice_en_37465607.mp3,United States English,Like them he suffers deeply and undergoes many intellectual physical and spiritual journeys
common_voice_en_37465608.mp3,United States English,To the north lies Remington Park while to the south is Devonshire Heights
common_voice_en_37416747.mp3,United States English,The screenplay by Val Guest is based on the play Deadlock by Leslie Sands
common_voice_en_37416749.mp3,United States English,Currently he lives in West Nyack New York
common_voice_en_37950141.mp3,United States English,Shoeburyness is arranged in a throughstation layout despite being a terminus
common_voice_en_37950143.mp3,United States English,Somalis have old visual art traditions which include pottery jewelry and wood carving
common_voice_en_37561947.mp3,United States English,Every such villagestate has its special deities generally a god and a goddess
common_voice_en_37623356.mp3,United States English,A number of free online group collaborations solutions exist
common_voice_en_37924270.mp3,United States English,Sobanokami Station has one side platform serving a single bidirectional track
common_voice_en_37951962.mp3,United States English,According to legend the castle was given as a gift to Queen Dagmar
common_voice_en_37746259.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Off the ice she has appeared in several Marlboro advertisements in Russia
common_voice_en_37757570.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Following this writers began exhorting Congress to occupy the Oregon Territory
